標題,問題,回答
 糖化血紅素,請問是可直接至門診預約檢查糖化血紅素嗎？ 目前懷孕（孕前是二期糖尿病，三餐藥量已吃半顆），血糖值都在正常範圍內，但已無吃藥及無打胰島素。 生完孩子，哺乳時是否需持續用藥？（不考慮施打胰島素） 謝謝您辛苦了！,如果想要檢驗HbA1c， 可以直接掛家醫科門診或內分泌科門診， 但通常如果是懷孕階段的妊娠糖尿病 我們通常還是由婦產科專科負責 如果懷孕階段飲食跟運動維持好 可以減少使用藥物的機會 但是目前研究顯示有妊娠糖尿病的個案 未來得到糖尿病的機會將會較高 所以會建議生產後仍要追蹤血糖與糖化血色素， 另外因為有妊娠糖尿病的個案 寶寶比較容易體型較大與出生後容易低血糖 所以仍建議血糖要控制穩定。 有任何問題可至門診諮詢
 腳指頭會刺痛,您好: 有些問題，腳的指頭有些許刺痛感，小腿也有腫脹感。 另外大腿偶爾會血液不通的感覺，但以上感覺時間都不長，就是偶爾會痛一下。 體重從的65公斤掉到的63公斤，但目前不確定體重計是否壞掉。 家族有糖尿病史，但個人於今年10月份去抽血檢查顯示飯前血糖為 82 mg/dl 且尿酸也沒有問題。 想請問醫生，有可能在2個月內我的血糖會高到糖尿病的程度嗎? 另外這樣的情形，如果要就診應該詢問哪一科呢? 敬祝: 平安 順心 陳小眼,您好: 糖尿病本身除非有出現急性病變原則很少在兩個月內，從正常血糖進展至需服用藥物控制血糖的地步。 若妳有其他身體不適之症狀，可至家醫科進一步的檢查及評估
 糖尿病問題,"請問醫生，我的血糖目前驗出是117（父親有糖尿病），醫生說還不需要吃藥控制，但是有一大堆的東西不能多吃，想請問的是，假設當天多吃了一些糖分的東西，那多喝水有用嗎？會稀釋糖份嗎?也就是想請教保養挽救一事，例如當天喝水量有到達2000cc(這裡指的是純水量嗎？還是湯也算呢？）,當天如果攝取糖分較多，需要喝更多的水嗎？有幫助嗎？對於有糖尿病前期與真的達到糖尿病的疑問，感謝您！",這位網友你好，糖分的高低是跟攝取的總熱量有關 並不會因為多喝水就讓血糖降低 所以控制飲食及適度運動在糖尿病前期都很重要 希望能解答到你的問題 祝 一切順心 愉快
 妊娠糖尿病,1：我想請問喝雞湯和魚湯會增高血糖嗎2:吃超商生菜沙拉配和風醬會降低血糖嗎？3:鮪魚蛋餅算一份糖嗎？,"關於妊娠糖尿病，最重要的事是一日總醣量的限制，並且以少量多餐方式攝取，並與討論每餐合適的進食份量。 基本上天然製作的雞湯和魚湯，成分中都不含有醣類，故影響血糖能力並不高，並不直接影響血糖 生菜沙拉及和風醬，蔬菜100公克含有少量的醣5克，以及纖維質及維生素，但是吃生菜沙拉並沒有降低血糖作用 鮪魚蛋餅，其蛋餅皮有分大小及厚度不同，大約份的主食份量(醣類代換),一般半片是一個醣類份量。 蔡秀雯回覆 祝您平安健康"
 麻煩的糖尿病,為什麼胰島素依賴型的糖尿病會多吃、多喝、多尿？可是卻又體重減輕、疲倦？ glucose 300mg/dl，HbA1C 8%，sodium 133mg/L，potassium 3mEq/L，chloride 101mg/L，bicarbonate 22mg/L，plasma ketones 1:8 dilution， urinary ketones 4+，這些生化檢查報告各代表什麼意義呢？ 麻煩您告訴我吧！,"糖尿病會產生多吃.多喝.多尿的三多症狀,當血糖升高時,會出現尿糖,而尿糖會有利尿作用, 就會出現多尿,多尿造成身體水分不足,就會產生多喝,多吃是因為中樞神經胰島素缺乏所致, 因尿糖會造成身體養分流失,所以會有體重減輕現象.檢查報告顯示有糖尿病酮酸中毒的跡象 ,處理"
 尿糖陽性,醫生，可以請問一下我用尿糖試紙飯後2小時有時候呈現弱陽性，今天居然驗到了2+，有點惶恐怕是糖尿病，不過有個現象就是空腹和中午晚上飯後卻都是陰性，吃東西前都會先把尿排過一次在驗，不知道為什麼就只有飯後會呈現陽性，所以想請教醫生有沒有可能是什麼原因造成，2個月前有驗過空腹血糖是95,糖尿病某些狀況是空腹血糖不高，但是餐後血糖就高了。建議可以先測飯後血糖值和糖化血色素看看。 另外，又有一些情形，如：腎臟的問題，藥物。等。看診
 會不會得糖尿病？,醫生你好， 最近看了許多報導，發現家族裡有糖尿病患者的自己也很容易有，畢業前在學校我喝的水很少甚至沒有喝，基本上每天都是一杯早餐飲料直到回家，平均一日喝水量大概是500ml左右，而我體重屬於過重，也蠻愛吃甜的、熬夜，很擔心是否會有糖尿病？ 另外近一個月都有正常飲食、運動，每天也有喝1000ml以上的水，不知道是否有幫助？,您好: 糖尿病與遺傳有關，也與後天的生活方式有關。體重過重、缺乏運動、腰圍過大、高熱量飲食都是糖尿病的高危險因子。 預防糖尿病要由體重、飲食、運動做起。 您每天500cc的水分是較為不足。先將體重下降到正常，飲食也要注意，少喝含糖飲料、少吃油炸或澱粉食物。並定期做健康檢查。 祝您 健康
 是否為糖尿病/糖尿病前期,"我想請問您糖尿病的問題，我把我的狀況/檢測結果列如下： ［兩年半前］新生體檢空腹血糖75/肝、腎、其餘正常 ［一年半前］出現口乾症狀，尿據我觀察是因為口乾=》喝水=》多尿；而非多尿=》口乾，會伴隨飢餓感，持續一陣子好轉 ［一年前］兵役體檢（暑期兵）我是飯後小時檢驗的,報告上沒寫血糖，其餘正常 ［前一個月］口乾出現，伴隨飢餓感飯前尤其明顯，他說這像是潰瘍症狀（兩年半前也是，之後我還蠻確定為腸胃潰瘍的），我那時自己認定得了糖尿病，整天鬱悶便去家醫科看診，隔天他幫我驗飯前（抽血順便看肝腎+驗尿，當天量體重有胖2kg,與半年前對比） 四天後看飯前99肝腎正常尿正常，看我擔心變問我吃過沒，我說1小時前喝過350ml無糖桂格大雁麥片，他變說：1小時可以啦！便幫我驗飯後，但我回想才發現沒到一小時那麼久，應該只過40分鐘，結果104他說：正常辣（我有點擔心這20分的誤差）而我看報告時紙本還沒出來，我不知道他有沒有幫我驗糖化血色素，他只說：你的檢驗報告都正常，只是壞的膽固醇稍稍高，比標準高出1（不過我第一次去有強調我想檢查糖尿病） 總結：無家庭病史、20歲1kg、無菸酒，口乾症狀與腸胃潰瘍症狀會在同一段時間出現/一起消失，不確定有無關連（但我查腸胃潰瘍沒這種，只有查到中醫的有提我相似症狀）口乾在吃完飯（10分後）會稍微明顯有時飯後又不會，一直注意膀胱會多尿，有些時候會晚睡（2、3點）衛生習慣差,我是不是什麼糖尿病前期？我口乾是糖尿病症狀？我覺得整天活在擔心底下好累,由此發問，感謝回覆",您好！ 依據您提供的資訊，目前還沒有糖尿病的風險，建議您半年再追蹤一次即可。 口乾的症狀較無特異性，熬夜、水分不足都可能造成口乾，建議您適度補充水分，觀察尿量及顏色，量少或色深代表身體水分不足，請您每日飲水再視狀況增加500cc，也要培養規律的運動習慣，可以減少緊張焦慮的情緒
 糖尿病,"您好:我每天都是喝蜂蜜水,會得糖尿病嗎?",喝蜂蜜水，不會得糠尿病；但是，糠尿病患者不能喝蜂蜜水
 糖尿病詢問減重問題,我本身妊娠糖尿13年 吃藥控制 但是血糖值都不怎麼理想這次抽血 飯前172 醣化血色素 5 目前身高163體重62 算是正常 但是我這一年來體重直線上升 一年胖了12公斤 幾乎都胖在肚子 腰圍應該破89公分了 有去家醫科檢查 指數都正常 超音波 也沒長東西 是說我這個是鮪魚肚 。有上一些健康網站查看 限醣飲食會瘦血糖也會改善 努力了3個月左右 也都沒瘦。糖化血色素是有降8 之前說運動會瘦 血糖直會降也都沒有 。我已經不知道該怎麼辦了。 分 幾乎一顆蛋加無糖燕麥飲或無糖優酪乳 午餐比較隨意 不限醣 晚餐 燙青菜 滷味 地瓜 蛋 之類的沒有醣類 滷味也都青菜菇類跟肉 都限醣戒飲料了。到底要怎麼瘦 本身食量不大 也不太會餓 但是三餐正常吃。已經吃到有點懷疑人生了。一方面為了身體健康也是希望肚子瘦一點 因為已經有些糖尿病併發症了。 抱歉文有點長 。感謝您耐心看完,"咚, 妳好: 來信展讀數遍, 感覺的到妳有努力控制血糖, 請繼續保持. 減重想做的好,要以飲食控制為主, 運動為輔. 建議諮詢, 決定多少量的食物和種類來攝取, 避免高油脂食物及記得吃了什麼食物的習慣, 方便上一餐若吃多了, 下一餐可以扣回來. 另外建議來院診查看有出現那些併發症並予以治療. 祝 身心愉快 柳 鴻 祥"
 驗糖尿病,你好 最近感覺上半身爆汗、傷口不易好，而老媽有糖尿病，所以懷疑我有糖尿病，內分泌科想驗血，說想要驗糖化血色素和飯後兩小時血糖值，就說只要驗飯後就夠了，糖化血色素不用，我想說糖化血色素不是比較準，就說先驗再說，結果飯後驗出來是142，就說恭喜沒過200沒得糖尿病，就叫我走了。 回家感覺怪怪的，幾個問題： 查網路資料，正常人飯後最高標準值140，我142是不是超標了，卻說不到200所以沒事，那不是隨機血糖標準值嗎？ 驗血當天快來不及了，這樣驗出142是否準確？飯量吃多吃少會對飯後血糖值有影響嗎？ 飯後142講的放心不是糖尿病不用再驗糖化血色素，還是已經是前期了？,你好： 以你的血糖報告而言，現在是處於糖尿病前期的狀態，建議你健康飲食及適度運動，於三個月後至家庭醫學科門診追蹤。 飲食的多寡會影響當時的血糖值變化，所以勿暴飲暴食對血糖控制是有幫助的。 願你身體健康
 糖耐測試,您好：本人糖化血色素5，糖耐測試五次血糖的數值分別為：96、167、212、174、132。表示，有三次血糖超過140，身體對於糖的耐受度不佳，為糖尿病的前期，需要從飲食控制做起，半年或一年後再追蹤。，從糖化血色素的數值來看，應該尚未達到糖尿病的前期，但糖耐測式的數字卻偏高，感覺平均血糖的數值，應該會超過用糖化血色素公式算出來的5，不知是否還需要做其他的檢查，比如：胰島素阻抗或分泌不足等。撥冗解惑！感恩！,網友你好： 目前對於糖尿病前期患者的建議是均衡飲食及適度的運動，且保持輕鬆心情定期追蹤即可。討論追蹤的頻率。 願你身體健康
 糖尿病飲食,您好我想請問第二型最近確診初期患者，早餐都是吃桂格十錦珍穀+2樣綠色青菜，每天都這樣吃合適嗎? 或是可以替換桂格系列的穀珍(穀麥全餐 無添加糖)合適嗎? 桂格十錦珍穀 成分： 燕麥、蕃茄、紫米、胡蘿蔔、紅甜菜、綠花椰菜、糙米鈣粒、葡萄籽萃取物、薏仁、蕎麥 穀珍(穀麥全餐 無添加糖) 【穀麥營養】含綜合穀物 【黑芝麻】 【綜合核果】蓮子、腰果、南瓜子、核桃、銀杏果、松子,評估糖尿病飲食，不會只評估每天某一餐的飲食。建議您做幾幾天的飲食紀錄，然後再到您就醫的醫療機構，與該機構的就飲食紀錄做整體評估
 可否用全蛋白質飲食控制糖尿病?,你好，我母親糖尿病多年，但血糖控制的不是很好，是否不讓我母親吃澱粉類的食物，改吃全蛋白質的食物(肉類、海鮮、豆腐、蛋)，血糖就會獲得控制呢?如果不行 可否簡單說明原因?如果可以用此方法控制血糖，是否有其他缺點? ps.母親的腎功能目前正常,您好： 全蛋白質飲食不當會造成腎臟負擔 且蛋白質飲食限制更嚴格 需檢測微蛋白尿指數 建議您掛新陳代謝科門診 依您母親的狀況給予意見 謝謝！
 糖尿病檢查,您好我做血液檢查與尿液檢查發現尿液檢查報告有尿糖與尿朣這些報告糖尿病屬於第一型還是第二型,僅由基礎的檢查還無法斷定是第一型或第二型糖尿病 需要進一步評估 多謝您的來信 關心您
 糖尿病症,糖尿病會暴瘦是什麼原因,"糖尿病可能會出現體重下降的現象, 但也非在每個病人皆會發生. 而體重急降有可能因為正常細胞糖分代謝發生異狀, 無法正常得到葡萄糖, 使得身體組織必須分解脂肪及蛋白質. 多謝來信 關心您"
 糖尿病相關知識,您好：分已豆類、雜糧穀物為主，偏素食，但很喜愛吃甜品，若是自己煮東西、沖茶、可可等，砂糖一定是大把大把的加，不過因為平時有適度的體能活動與重量訓練，體型還還算標準，上述的情況會不會因為糖果、砂糖、甜食等吃太多將來容易罹患糖尿病？謝謝,"雖然無明顯證據證明多於糖吃糖會得糖尿病,但糖類吃多易胖,而且快速的血糖上升對身體亦不好,建議還是少吃精緻醣類,多吃五穀.糙米.燕麥較好"
